N,D,bonus,condition,seed,update,eat0,eat1,selectivity,prevalence,zaps,ret
12,100,8.75,none,0,188,98.625,114.3515625,0.0,0.0,11.390625,-7.388932228088379
12,100,8.75,none,0,189,98.09765625,115.5703125,0.0,0.0,11.1484375,-7.045931816101074
12,100,8.75,none,0,190,99.46875,114.9921875,0.0,0.0,11.16015625,-7.459668159484863
12,100,8.75,none,0,191,99.6328125,114.609375,0.0,0.0,10.9140625,-7.255826950073242
12,100,8.75,none,0,192,99.078125,115.07421875,0.0,0.0,11.140625,-7.441373348236084
12,100,8.75,none,0,193,99.4140625,114.84765625,0.0,0.0,10.91796875,-7.297688961029053
12,100,8.75,none,0,194,99.88671875,114.5703125,0.0,0.0,10.5625,-7.339745998382568
12,100,8.75,none,0,195,98.07421875,115.6953125,0.0,0.0,10.66015625,-7.121777534484863
12,100,8.75,none,0,196,98.12890625,115.47265625,0.0,0.0,10.52734375,-6.78964900970459
12,100,8.75,none,0,197,98.375,115.1328125,0.0,0.0,10.87890625,-7.05185604095459
12,100,8.75,none,0,198,99.01171875,115.47265625,0.0,0.0,10.7578125,-7.057519912719727
12,100,8.75,none,0,199,99.4609375,114.29296875,0.0,0.0,10.5234375,-7.148470878601074
12,100,8.75,none,0,200,98.984375,115.48828125,0.0,0.0,10.4609375,-7.013638973236084
12,100,8.75,none,0,201,97.8359375,115.62890625,0.0,0.0,10.515625,-6.89804744720459
12,100,8.75,none,0,202,98.859375,114.703125,0.0,0.0,10.7734375,-7.203646659851074
12,100,8.75,none,0,203,99.3046875,114.75390625,0.0,0.0,10.37890625,-7.09912109375
12,100,8.75,none,0,204,98.80078125,115.17578125,0.0,0.0,10.15234375,-6.918327331542969
12,100,8.75,none,0,205,98.59375,116.16796875,0.0,0.0,10.23828125,-6.949089050292969
12,100,8.75,none,0,206,99.08984375,115.24609375,0.0,0.0,10.1484375,-7.081673622131348
12,100,8.75,none,0,207,99.04296875,115.4375,0.0,0.0,10.3203125,-7.043002128601074
12,100,8.75,none,0,208,100.21484375,115.65234375,0.0,0.0,9.89453125,-7.1287760734558105
12,100,8.75,none,0,209,99.2890625,115.98046875,0.0,0.0,9.99609375,-7.031445503234863
12,100,8.75,none,0,210,99.6875,115.71484375,0.0,0.0,10.01953125,-7.209017753601074
12,100,8.75,none,0,211,98.21484375,115.48046875,0.0,0.0,9.83984375,-6.6298828125
12,100,8.75,none,0,212,99.37109375,116.28515625,0.0,0.0,9.87109375,-7.03955078125
12,100,8.75,none,0,213,99.08984375,115.62109375,0.0,0.0,9.69921875,-6.895898342132568
12,100,8.75,none,0,214,99.0703125,115.7578125,0.0,0.0,9.6015625,-7.040299892425537
12,100,8.75,none,0,215,98.53125,117.83984375,0.0,0.0,9.6328125,-6.671615123748779
12,100,8.75,none,0,216,98.89453125,116.07421875,0.0,0.0,9.8984375,-6.7814459800720215
12,100,8.75,none,0,217,100.55859375,115.48828125,0.0,0.0,9.5625,-7.08701229095459
12,100,8.75,none,0,218,100.9921875,115.859375,0.0,0.0,9.79296875,-7.323177337646484
12,100,8.75,none,0,219,98.9765625,117.2890625,0.0,0.0,9.58203125,-6.585482597351074
12,100,8.75,none,0,220,97.95703125,116.88671875,0.0,0.0,9.69140625,-6.8649420738220215
12,100,8.75,none,0,221,97.10546875,115.828125,0.0,0.0,9.34765625,-6.410222053527832
